                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0655,                 1.4495,                 1.0587,                0.71545,                0.66925,                0.65845,                0.47888,                 1.1254,                0.95735,                 1.0002,               0.070012,              0.0033319,              0.0033319
                      1,                0.96157,                0.95557,                 1.0178,                0.73133,                0.64583,                0.70777,                0.52877,                  0.982,                0.89872,                0.96918,               0.039683,              0.0063354,              0.0063354
                      2,                0.97744,                0.93969,                  1.034,                0.90385,                0.54362,                0.60385,                0.46207,                 1.0662,                 1.1289,                 1.0221,              0.0090226,              0.0090088,              0.0090088
                      3,                0.96874,                0.92403,                 1.0424,                0.69518,                0.56818,                0.62177,                0.49672,                 1.0335,                0.96123,                 1.0149,               0.008515,               0.008515,               0.008515
                      4,                0.90851,                0.83371,                 1.0202,                 0.7704,                0.57376,                0.66985,                0.52246,                0.97772,                0.95975,                0.99891,               0.008515,               0.008515,               0.008515
                      5,                0.85655,                0.75805,                0.99737,                0.73724,                0.72401,                0.73117,                0.55838,                0.90201,                0.77657,                0.95821,                0.00802,                0.00802,                0.00802
                      6,                0.82212,                0.71136,                0.98534,                0.95286,                0.58263,                 0.6862,                0.54998,                0.91455,                0.86586,                0.97925,               0.007525,               0.007525,               0.007525
                      7,                0.79157,                0.67707,                0.97519,                0.75642,                0.69323,                0.70769,                0.54844,                0.91545,                 0.7625,                0.96995,                0.00703,                0.00703,                0.00703
                      8,                0.77031,                0.63663,                0.96417,                0.74679,                0.67712,                0.72174,                0.56684,                0.89488,                0.76604,                0.95394,               0.006535,               0.006535,               0.006535
                      9,                0.74563,                0.61589,                0.95747,                0.75634,                 0.7358,                 0.7511,                0.58007,                0.85077,                0.67574,                0.94302,                0.00604,                0.00604,                0.00604
                     10,                0.71761,                0.58206,                0.94916,                0.79559,                0.74204,                0.75662,                0.57589,                0.87429,                0.65696,                0.95268,               0.005545,               0.005545,               0.005545
                     11,                0.70172,                0.56608,                0.94296,                0.72766,                0.65651,                0.70633,                0.57107,                0.83989,                 0.7352,                0.94518,                0.00505,                0.00505,                0.00505
                     12,                0.69364,                0.54792,                0.93749,                0.76124,                0.68128,                0.71431,                0.57189,                0.85402,                0.69895,                0.93923,               0.004555,               0.004555,               0.004555
                     13,                0.67986,                0.52808,                0.93308,                0.80301,                 0.6767,                0.72556,                0.58411,                0.81137,                0.68454,                0.92836,                0.00406,                0.00406,                0.00406
                     14,                0.66906,                0.50611,                0.92799,                 0.8101,                 0.6377,                0.69097,                0.57242,                0.81256,                0.74018,                0.92822,               0.003565,               0.003565,               0.003565
                     15,                0.64769,                0.48831,                0.92487,                0.79295,                 0.7127,                0.74239,                0.59105,                0.79805,                0.63672,                0.92516,                0.00307,                0.00307,                0.00307
                     16,                0.64047,                0.47587,                0.91748,                0.79983,                0.72363,                0.76402,                0.60051,                0.78766,                 0.6186,                0.92129,               0.002575,               0.002575,               0.002575
                     17,                0.62099,                0.45196,                0.91166,                0.80615,                0.65359,                0.70235,                0.57924,                0.79665,                0.69866,                0.92405,                0.00208,                0.00208,                0.00208
                     18,                0.60846,                0.43867,                0.90932,                0.81085,                0.68318,                0.74154,                0.59519,                0.78245,                0.66219,                0.91768,               0.001585,               0.001585,               0.001585
                     19,                0.59607,                0.42077,                0.90681,                0.81694,                0.68816,                0.73769,                 0.5937,                0.77843,                0.64557,                0.91556,                0.00109,                0.00109,                0.00109
